Overall_rank,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Country_or_region
0,0.8383,0.1054,0.0869,0.0971,0.9386,0.717,0.6655,xuhcffh
1,0.7357,0.0272,0.9574,0.9818,0.2593,0.8197,0.2705,nsca
2,0.9774,0.9551,0.7042,0.9315,0.2705,0.6043,0.3204,faui
3,0.2501,0.7624,0.7334,0.3853,0.9515,0.1723,0.579,mxvbvm
4,0.6159,0.6142,0.1496,0.4991,0.9692,0.7972,0.3154,daxvk
5,0.1121,0.4593,0.1547,0.3288,0.364,0.2647,0.8223,xefhmkw
6,0.9878,0.5315,0.3752,0.5047,0.6266,0.0389,0.73,blra
7,0.2021,0.0273,0.5378,0.8802,0.0513,0.7823,0.4857,kxxjggfx
8,0.1256,0.6481,0.5004,0.4226,0.181,0.3058,0.5771,dhhekt
9,0.5435,0.8375,0.424,0.33,0.5789,0.3564,0.6692,yfjc
10,0.7321,0.6068,0.0593,0.3105,0.1095,0.8225,0.2049,domtfsu
11,0.5074,0.5037,0.48,0.9075,0.1915,0.7877,0.6182,mtwdlnxn
12,0.1557,0.3139,0.5792,0.8544,0.6491,0.5129,0.1262,qjggi
13,0.0273,0.7662,0.3885,0.226,0.8511,0.8839,0.8503,dfjc
14,0.0636,0.8867,0.1599,0.0598,0.1375,0.0386,0.9163,cver
15,0.0268,0.5597,0.9747,0.1329,0.2351,0.7249,0.3304,eynqe
16,0.4704,0.9767,0.9529,0.6976,0.2818,0.2246,0.0892,dxbveiwy
17,0.2825,0.8363,0.8386,0.7211,0.1002,0.8771,0.8659,dcvbnb
18,0.3445,0.4694,0.7487,0.082,0.6965,0.0563,0.6243,miwqtbt
19,0.5608,0.2633,0.9336,0.8719,0.8324,0.7203,0.253,gmqb
20,0.8295,0.4503,0.2788,0.0915,0.9502,0.4258,0.0434,vqghiy
21,0.6517,0.4284,0.3451,0.3586,0.895,0.5676,0.0749,tjcqjr
22,0.6922,0.6712,0.0529,0.0086,0.4808,0.6399,0.7437,plts
23,0.2159,0.9034,0.1555,0.9673,0.5399,0.525,0.8062,lvzk
24,0.623,0.3955,0.0246,0.2212,0.133,0.0356,0.4909,bfhvqi
25,0.5299,0.7358,0.5421,0.6968,0.881,0.1207,0.9286,ctxs
26,0.6102,0.7593,0.495,0.0524,0.5115,0.4147,0.2082,nrwlccr
27,0.9716,0.7847,0.4137,0.035,0.6381,0.8152,0.9516,mpitghi
28,0.1839,0.5626,0.8095,0.1912,0.2391,0.4082,0.2473,oeavrdx
29,0.3008,0.2462,0.3948,0.0265,0.3993,0.9043,0.4692,cskrt
30,0.9543,0.9409,0.5286,0.2001,0.0999,0.3751,0.9139,hxao
31,0.6348,0.2632,0.5975,0.7596,0.1255,0.4484,0.5147,bokdyang
32,0.7892,0.3939,0.517,0.402,0.0537,0.5076,0.8435,ohld
33,0.4078,0.8611,0.6158,0.2924,0.3718,0.8355,0.7023,ajtjw
34,0.4421,0.4862,0.9147,0.1629,0.2717,0.9349,0.9641,qvpmrt
35,0.9156,0.2518,0.6906,0.0996,0.7929,0.2479,0.7045,pdnkoo
36,0.5337,0.8417,0.0503,0.848,0.6636,0.0842,0.3624,sinyb
37,0.5988,0.3853,0.3623,0.8509,0.2363,0.8532,0.5634,nmvadt
38,0.8901,0.9245,0.2994,0.0464,0.7835,0.3502,0.7209,bhbbskc
39,0.991,0.5372,0.9079,0.0751,0.7011,0.5235,0.2137,yzzlpfi
40,0.1786,0.3378,0.6154,0.8018,0.6462,0.2744,0.3063,hepbmf
41,0.6597,0.6178,0.8328,0.0606,0.7069,0.3319,0.9054,bvlato
42,0.2013,0.4024,0.6815,0.9714,0.1808,0.4234,0.6714,ztrxhnx
43,0.7104,0.0238,0.4345,0.6595,0.2774,0.3273,0.6688,qujgi
44,0.931,0.0135,0.0289,0.6691,0.6754,0.9781,0.3457,wrdh
45,0.3227,0.6612,0.175,0.3401,0.149,0.2088,0.6915,eywxn
46,0.1024,0.4692,0.4211,0.1821,0.7334,0.4104,0.6139,ocup
47,0.7786,0.5855,0.921,0.5849,0.028,0.8033,0.5948,lhkfeev
48,0.5653,0.7626,0.9321,0.229,0.0038,0.6446,0.3199,qxcf
49,0.8879,0.7835,0.1726,0.308,0.7183,0.9986,0.7395,nokqkjr
50,0.5389,0.947,0.4594,0.5901,0.0883,0.1439,0.6028,ttelgw
51,0.7551,0.5429,0.3619,0.1262,0.2476,0.0532,0.1469,bzjrcdhu
52,0.8247,0.0518,0.7951,0.2515,0.1297,0.2952,0.8311,rjpbbgj
53,0.7775,0.4781,0.7595,0.1379,0.3738,0.1931,0.9022,ndmq
54,0.4816,0.6582,0.6478,0.3991,0.6804,0.3637,0.9784,msgdrw
55,0.9582,0.1879,0.8094,0.2913,0.4195,0.9656,0.4593,yvypt
56,0.2397,0.4153,0.3911,0.4087,0.4536,0.4844,0.6076,dcarvqd
57,0.39,0.0301,0.0311,0.1166,0.3561,0.0312,0.1091,lczgve
58,0.9693,0.4209,0.6286,0.5854,0.3252,0.3582,0.9908,pwmt
59,0.7419,0.1392,0.0022,0.9515,0.9991,0.8831,0.7253,zpozexpp
60,0.3747,0.5167,0.1275,0.4726,0.7301,0.4264,0.6493,jdahtdj
61,0.6069,0.7546,0.3521,0.8187,0.9233,0.4069,0.404,rfkpgxv
62,0.0656,0.738,0.1457,0.1513,0.3997,0.969,0.0083,njhmyoum
